_u,_v,abs(NearPoyntingTotal)[irrad_W_per_m2]
2,-5,9.55055e-05
2.5,-5,2.81309e-05
3,-5,5.27539e-05
3.5,-5,1.18925e-05
4,-5,4.77834e-05
4.5,-5,6.69971e-05
5,-5,0.000270454
5.5,-5,0.000341061
6,-5,2.69618e-05
6.5,-5,0.000118717
7,-5,0.000437155
7.5,-5,0.000261082
8,-5,0.000262639
8.5,-5,0.000143913
9,-5,7.45445e-05
9.5,-5,0.000213651
10,-5,0.000281437
-10,-4.5,2.33328e-05
-9.5,-4.5,3.80556e-05
-9,-4.5,2.11659e-05
-8.5,-4.5,6.29716e-05
-8,-4.5,4.47183e-05
-7.5,-4.5,6.54643e-05
-7,-4.5,4.97564e-05
-6.5,-4.5,4.48819e-05
-6,-4.5,7.18604e-05
-5.5,-4.5,0.000103116
-5,-4.5,0.000105217
-4.5,-4.5,1.05817e-05
-4,-4.5,6.01321e-05
-3.5,-4.5,0.000121225
-3,-4.5,0.000101396
-2.5,-4.5,2.33116e-05
-2,-4.5,6.58473e-05
-1.5,-4.5,0.000130073
-1,-4.5,0.000100803
-0.5,-4.5,4.5767e-05
0,-4.5,4.82012e-05
0.5,-4.5,0.000155786
1,-4.5,0.000160209
1.5,-4.5,8.98773e-05
2,-4.5,0.0003214
2.5,-4.5,3.11897e-05
3,-4.5,8.90368e-05
3.5,-4.5,3.41774e-05
4,-4.5,5.91246e-05
4.5,-4.5,0.000124413
5,-4.5,3.10494e-05
5.5,-4.5,0.000136856
6,-4.5,0.000257844
6.5,-4.5,1.93744e-05
7,-4.5,0.000157964
7.5,-4.5,5.16233e-05
8,-4.5,0.000170493
8.5,-4.5,0.000504344
9,-4.5,0.000229152
9.5,-4.5,5.78607e-05
10,-4.5,8.93878e-05
-10,-4,1.82583e-05
-9.5,-4,4.0254e-05
-9,-4,2.44259e-05
-8.5,-4,9.3967e-05
-8,-4,3.38023e-05
-7.5,-4,7.55215e-05
-7,-4,0.000118971
-6.5,-4,5.46932e-05
-6,-4,0.000115293
-5.5,-4,0.000141871
-5,-4,6.59518e-05
-4.5,-4,2.44601e-05
-4,-4,0.00016254
-3.5,-4,0.000149431
-3,-4,3.52542e-05
-2.5,-4,2.94112e-05
-2,-4,9.76269e-05
-1.5,-4,0.000232318
-1,-4,7.40995e-05
-0.5,-4,8.91434e-05
0,-4,3.42303e-05
0.5,-4,0.000197945
1,-4,0.000131519
1.5,-4,6.99291e-05
2,-4,0.000246327
2.5,-4,3.33665e-05
3,-4,9.16772e-06
3.5,-4,7.82043e-05
4,-4,3.58807e-05
4.5,-4,0.000276986
5,-4,0.000344451
5.5,-4,7.01439e-05
6,-4,0.000254494
6.5,-4,0.000243135
7,-4,4.26688e-05
7.5,-4,2.60079e-05
8,-4,2.92556e-05
8.5,-4,0.00048253
9,-4,0.000897446
9.5,-4,0.000172602
10,-4,8.22841e-05
-10,-3.5,2.10211e-05
-9.5,-3.5,7.85778e-05
-9,-3.5,2.25911e-05
-8.5,-3.5,8.10751e-05
-8,-3.5,2.45299e-05
-7.5,-3.5,2.44772e-05
-7,-3.5,8.83032e-05
-6.5,-3.5,6.70373e-05
-6,-3.5,7.44798e-05
-5.5,-3.5,7.93451e-05
-5,-3.5,3.56857e-05
-4.5,-3.5,2.05899e-05
-4,-3.5,0.00021227
-3.5,-3.5,0.000249919
-3,-3.5,0.000110238
-2.5,-3.5,0.000245711
-2,-3.5,0.000116222
-1.5,-3.5,0.000242433
-1,-3.5,0.000173807
-0.5,-3.5,6.56843e-05
0,-3.5,6.73348e-05
0.5,-3.5,0.000310157
1,-3.5,0.000157302
1.5,-3.5,4.22147e-05
2,-3.5,0.000106161
2.5,-3.5,6.96783e-05
3,-3.5,6.15843e-05
3.5,-3.5,0.000165046
4,-3.5,9.59406e-05
4.5,-3.5,0.00023166
5,-3.5,0.00028004
5.5,-3.5,5.46835e-05
6,-3.5,0.000204352
6.5,-3.5,0.000117675
7,-3.5,0.000147128
7.5,-3.5,0.000115885
8,-3.5,0.000100673
8.5,-3.5,0.000126533
9,-3.5,0.000523983
9.5,-3.5,0.000464684
10,-3.5,0.000196928
-10,-3,1.24969e-05
-9.5,-3,1.16911e-05
-9,-3,5.01279e-06
-8.5,-3,2.10941e-05
-8,-3,9.35593e-05
-7.5,-3,4.75783e-06
-7,-3,6.52538e-05
-6.5,-3,3.28155e-05
-6,-3,5.81737e-05
-5.5,-3,4.93258e-05
-5,-3,1.81214e-05
-4.5,-3,4.38387e-05
-4,-3,0.000222163
-3.5,-3,0.000297874
-3,-3,0.0001565
-2.5,-3,0.000170246
-2,-3,0.000206749
-1.5,-3,0.000210804
-1,-3,0.000245086
-0.5,-3,6.49468e-05
0,-3,0.000168717
0.5,-3,0.000188319
1,-3,0.000119268
1.5,-3,0.000149179
2,-3,0.000313386
2.5,-3,5.84712e-05
3,-3,0.000162795
3.5,-3,0.000106896
4,-3,0.000215829
4.5,-3,6.61726e-05
5,-3,0.000344473
5.5,-3,0.00035355
6,-3,2.57515e-05
6.5,-3,0.000196573
7,-3,0.00044162
7.5,-3,0.000168663
8,-3,6.10243e-05
8.5,-3,4.04367e-05
9,-3,0.000476482
9.5,-3,0.000390036
10,-3,0.000100886
-10,-2.5,2.91441e-05
-9.5,-2.5,2.02029e-05
-9,-2.5,2.08267e-05
-8.5,-2.5,3.71145e-05
-8,-2.5,4.27647e-05
-7.5,-2.5,1.3426e-05
-7,-2.5,2.00781e-05
-6.5,-2.5,5.6443e-05
-6,-2.5,4.06368e-05
-5.5,-2.5,4.9031e-05
-5,-2.5,4.36345e-05
-4.5,-2.5,0.000116501
-4,-2.5,0.000446995
-3.5,-2.5,0.000431436
-3,-2.5,0.000176056
-2.5,-2.5,0.000156697
-2,-2.5,0.000244552
-1.5,-2.5,0.00014023
-1,-2.5,0.00012639
-0.5,-2.5,7.18757e-05
0,-2.5,8.31806e-05
0.5,-2.5,0.000427481
1,-2.5,0.00012436
1.5,-2.5,0.000172837
2,-2.5,0.000322795
2.5,-2.5,3.56403e-05
3,-2.5,6.62186e-05
3.5,-2.5,6.68926e-05
4,-2.5,2.69247e-05
4.5,-2.5,0.000186838
5,-2.5,0.000326673
5.5,-2.5,7.94664e-05
6,-2.5,0.000125013
6.5,-2.5,0.000296761
7,-2.5,0.000176528
7.5,-2.5,0.000114455
8,-2.5,1.98888e-05
8.5,-2.5,0.000208889
9,-2.5,0.000534684
9.5,-2.5,0.00022042
10,-2.5,0.000133704
-10,-2,7.42368e-05
-9.5,-2,6.13767e-05
-9,-2,2.20908e-05
-8.5,-2,3.25761e-05
-8,-2,8.28106e-05
-7.5,-2,3.60932e-05
-7,-2,1.38045e-05
-6.5,-2,4.71318e-05
-6,-2,1.68221e-05
-5.5,-2,1.65064e-05
-5,-2,5.81373e-05
-4.5,-2,6.76581e-05
-4,-2,0.000359461
-3.5,-2,0.000378126
-3,-2,0.000242877
-2.5,-2,0.000163203
-2,-2,0.000147285
-1.5,-2,0.000229392
-1,-2,0.000234091
-0.5,-2,5.31667e-05
0,-2,0.000107868
0.5,-2,0.000249251
1,-2,0.000198271
1.5,-2,0.0002326
2,-2,0.000220181
2.5,-2,2.87064e-05
3,-2,7.0359e-05
3.5,-2,0.000185049
4,-2,8.67231e-06
4.5,-2,0.000177172
5,-2,0.000368822
5.5,-2,0.000127146
6,-2,4.90026e-05
6.5,-2,0.000143037
7,-2,0.000221313
7.5,-2,0.000215608
8,-2,0.000140622
8.5,-2,0.000250643
9,-2,0.000418662
9.5,-2,0.000213774
10,-2,0.000213199
-10,-1.5,1.19832e-05
-9.5,-1.5,7.33159e-05
-9,-1.5,5.96029e-05
-8.5,-1.5,5.86612e-05
-8,-1.5,6.75088e-05
-7.5,-1.5,4.19271e-05
-7,-1.5,8.14075e-06
-6.5,-1.5,2.03469e-05
-6,-1.5,2.28142e-05
-5.5,-1.5,1.98498e-05
-5,-1.5,6.11959e-05
-4.5,-1.5,0.00016138
-4,-1.5,0.000376743
-3.5,-1.5,0.000288665
-3,-1.5,0.000330031
-2.5,-1.5,0.000184202
-2,-1.5,0.000318267
-1.5,-1.5,0.000311174
-1,-1.5,0.000110224
-0.5,-1.5,4.78407e-05
0,-1.5,0.000108934
0.5,-1.5,9.64725e-05
1,-1.5,0.000121661
1.5,-1.5,0.000269868
2,-1.5,0.000177977
2.5,-1.5,2.34421e-05
3,-1.5,2.7467e-05
3.5,-1.5,0.000126489
4,-1.5,3.07553e-05
4.5,-1.5,0.000150441
5,-1.5,0.000249353
5.5,-1.5,0.000171945
6,-1.5,0.00014252
6.5,-1.5,0.000187684
7,-1.5,0.000403564
7.5,-1.5,0.000368088
8,-1.5,0.000163553
8.5,-1.5,0.000324032
9,-1.5,0.000500844
9.5,-1.5,0.000229608
10,-1.5,7.55508e-05
-10,-1,5.34987e-05
-9.5,-1,6.88458e-05
-9,-1,3.93537e-05
-8.5,-1,1.07542e-05
-8,-1,1.89501e-05
-7.5,-1,2.96784e-05
-7,-1,2.22484e-05
-6.5,-1,5.52724e-05
-6,-1,2.22378e-05
-5.5,-1,1.33052e-05
-5,-1,3.3019e-05
-4.5,-1,0.000236946
-4,-1,0.000468255
-3.5,-1,0.000558303
-3,-1,0.000333407
-2.5,-1,0.000129546
-2,-1,0.000139327
-1.5,-1,0.000172561
-1,-1,9.02008e-05
-0.5,-1,5.90344e-05
0,-1,1.35959e-05
0.5,-1,0.000136867
1,-1,0.000260813
1.5,-1,4.66851e-05
2,-1,0.000175785
2.5,-1,0.000129679
3,-1,5.57108e-05
3.5,-1,0.000152504
4,-1,4.11017e-05
4.5,-1,0.000188031
5,-1,0.000301468
5.5,-1,9.07568e-05
6,-1,0.000206807
6.5,-1,0.000496973
7,-1,0.000496189
7.5,-1,0.000337461
8,-1,2.88189e-05
8.5,-1,4.93153e-05
9,-1,0.000492045
9.5,-1,0.000323554
10,-1,7.9767e-05
-10,-0.5,2.08754e-05
-9.5,-0.5,3.86139e-05
-9,-0.5,0.000117104
-8.5,-0.5,5.79973e-05
