_u,_v,dB(NearPoyntingTotal)
-0.8,10.4,-47.5469
0,10.4,-42.3115
0.8,10.4,-43.8832
1.6,10.4,-44.6636
2.4,10.4,-43.5039
3.2,10.4,-48.2314
4,10.4,-52.9388
4.8,10.4,-55.8461
5.6,10.4,-50.6615
6.4,10.4,-53.2141
7.2,10.4,-46.3538
8,10.4,-48.7092
8.8,10.4,-49.3391
9.6,10.4,-48.7512
10.4,10.4,-56.2155
11.2,10.4,-53.1947
12,10.4,-60.5119
12.8,10.4,-51.5157
13.6,10.4,-57.9549
14.4,10.4,-49.7679
15.2,10.4,-52.8256
16,10.4,-54.1539
16.8,10.4,-49.733
17.6,10.4,-55.5669
18.4,10.4,-53.3881
19.2,10.4,-53.2612
20,10.4,-59.0327
-20,11.2,-25.7637
-19.2,11.2,-27.3199
-18.4,11.2,-29.4031
-17.6,11.2,-26.043
-16.8,11.2,-28.1071
-16,11.2,-34.2124
-15.2,11.2,-28.044
-14.4,11.2,-30.4429
-13.6,11.2,-34.998
-12.8,11.2,-35.5918
-12,11.2,-34.264
-11.2,11.2,-32.3504
-10.4,11.2,-41.7191
-9.6,11.2,-36.9572
-8.8,11.2,-37.5172
-8,11.2,-43.0783
-7.2,11.2,-38.5395
-6.4,11.2,-37.1171
-5.6,11.2,-46.1985
-4.8,11.2,-49.5108
-4,11.2,-44.2706
-3.2,11.2,-40.1751
-2.4,11.2,-43.74
-1.6,11.2,-43.1177
-0.8,11.2,-42.0888
0,11.2,-40.8786
0.8,11.2,-42.1852
1.6,11.2,-45.1448
2.4,11.2,-45.365
3.2,11.2,-44.411
4,11.2,-43.4031
4.8,11.2,-52.0802
5.6,11.2,-54.1493
6.4,11.2,-48.443
7.2,11.2,-46.2656
8,11.2,-46.3174
8.8,11.2,-53.661
9.6,11.2,-51.2827
10.4,11.2,-53.0254
11.2,11.2,-51.0715
12,11.2,-54.2119
12.8,11.2,-61.4952
13.6,11.2,-58.9979
14.4,11.2,-55.857
15.2,11.2,-49.1056
16,11.2,-51.185
16.8,11.2,-54.1854
17.6,11.2,-57.1588
18.4,11.2,-51.8643
19.2,11.2,-50.7192
20,11.2,-50.2175
-20,12,-22.5719
-19.2,12,-24.6169
-18.4,12,-27.3529
-17.6,12,-25.5258
-16.8,12,-20.932
-16,12,-26.3129
-15.2,12,-26.5642
-14.4,12,-27.501
-13.6,12,-31.962
-12.8,12,-31.0747
-12,12,-33.9467
-11.2,12,-32.6517
-10.4,12,-42.709
-9.6,12,-36.9429
-8.8,12,-36.9516
-8,12,-41.4332
-7.2,12,-37.3106
-6.4,12,-45.2248
-5.6,12,-35.9423
-4.8,12,-42.5898
-4,12,-41.6383
-3.2,12,-47.5905
-2.4,12,-48.7262
-1.6,12,-41.8212
-0.8,12,-46.6113
0,12,-44.6721
0.8,12,-42.1682
1.6,12,-46.3368
2.4,12,-49.2749
3.2,12,-45.6689
4,12,-45.6503
4.8,12,-48.0303
5.6,12,-50.6997
6.4,12,-52.7471
7.2,12,-49.0759
8,12,-46.9155
8.8,12,-53.9275
9.6,12,-58.9906
10.4,12,-52.1438
11.2,12,-49.9828
12,12,-55.2934
12.8,12,-55.1752
13.6,12,-61.2024
14.4,12,-52.3922
15.2,12,-58.3594
16,12,-52.9087
16.8,12,-56.8387
17.6,12,-55.6135
18.4,12,-54.6592
19.2,12,-56.5225
20,12,-56.4274
-20,12.8,-26.6169
-19.2,12.8,-23.4141
-18.4,12.8,-28.0736
-17.6,12.8,-25.7621
-16.8,12.8,-22.5835
-16,12.8,-26.3233
-15.2,12.8,-27.9404
-14.4,12.8,-26.3209
-13.6,12.8,-24.4266
-12.8,12.8,-30.5144
-12,12.8,-32.1502
-11.2,12.8,-30.2125
-10.4,12.8,-40.5656
-9.6,12.8,-40.339
-8.8,12.8,-34.9565
-8,12.8,-40.095
-7.2,12.8,-40.3887
-6.4,12.8,-46.6921
-5.6,12.8,-39.0676
-4.8,12.8,-40.5687
-4,12.8,-50.4656
-3.2,12.8,-47.0935
-2.4,12.8,-47.4714
-1.6,12.8,-45.1983
-0.8,12.8,-47.4713
0,12.8,-41.977
0.8,12.8,-46.4211
1.6,12.8,-44.835
2.4,12.8,-50.3256
3.2,12.8,-50.9004
4,12.8,-46.5278
4.8,12.8,-51.222
5.6,12.8,-52.113
6.4,12.8,-44.361
7.2,12.8,-50.1721
8,12.8,-58.7809
8.8,12.8,-54.3052
9.6,12.8,-51.5723
10.4,12.8,-56.5102
11.2,12.8,-49.1371
12,12.8,-47.4901
12.8,12.8,-50.0454
13.6,12.8,-52.9519
14.4,12.8,-48.0908
15.2,12.8,-53.9592
16,12.8,-60.6289
16.8,12.8,-56.9539
17.6,12.8,-59.1236
18.4,12.8,-49.8789
19.2,12.8,-60.8629
20,12.8,-60.2408
-20,13.6,-26.3282
-19.2,13.6,-21.8916
-18.4,13.6,-27.6363
-17.6,13.6,-26.0135
-16.8,13.6,-24.1924
-16,13.6,-22.9918
-15.2,13.6,-28.9753
-14.4,13.6,-26.3416
-13.6,13.6,-24.52
-12.8,13.6,-30.8576
-12,13.6,-26.7419
-11.2,13.6,-31.9495
-10.4,13.6,-37.6482
-9.6,13.6,-41.8289
-8.8,13.6,-44.3116
-8,13.6,-41.5961
-7.2,13.6,-44.6656
-6.4,13.6,-36.3302
-5.6,13.6,-40.1367
-4.8,13.6,-38.996
-4,13.6,-47.7415
-3.2,13.6,-42.7099
-2.4,13.6,-50.9599
-1.6,13.6,-39.509
-0.8,13.6,-41.3049
0,13.6,-45.9764
0.8,13.6,-50.4865
1.6,13.6,-52.8856
2.4,13.6,-48.2463
3.2,13.6,-53.5372
4,13.6,-45.766
4.8,13.6,-48.5018
5.6,13.6,-44.908
6.4,13.6,-48.2064
7.2,13.6,-52.4047
8,13.6,-48.1926
8.8,13.6,-52.4769
9.6,13.6,-48.095
10.4,13.6,-55.0727
11.2,13.6,-59.1362
12,13.6,-50.7785
12.8,13.6,-57.105
13.6,13.6,-52.1028
14.4,13.6,-51.6457
15.2,13.6,-58.5723
16,13.6,-53.4094
16.8,13.6,-57.1557
17.6,13.6,-56.916
18.4,13.6,-55.0028
19.2,13.6,-57.3749
20,13.6,-53.9185
-20,14.4,-25.3412
-19.2,14.4,-23.1936
-18.4,14.4,-23.8267
-17.6,14.4,-27.3211
-16.8,14.4,-24.2155
-16,14.4,-22.9741
-15.2,14.4,-25.4625
-14.4,14.4,-26.4095
-13.6,14.4,-24.7557
-12.8,14.4,-25.7949
-12,14.4,-30.9578
-11.2,14.4,-29.8838
-10.4,14.4,-36.5656
-9.6,14.4,-44.7711
-8.8,14.4,-44.4712
-8,14.4,-43.7281
-7.2,14.4,-37.1637
-6.4,14.4,-38.2723
-5.6,14.4,-43.1754
-4.8,14.4,-41.5176
-4,14.4,-42.0151
-3.2,14.4,-42.5388
-2.4,14.4,-41.2863
-1.6,14.4,-40.4075
-0.8,14.4,-40.737
0,14.4,-45.158
0.8,14.4,-48.7426
1.6,14.4,-52.178
2.4,14.4,-49.8723
3.2,14.4,-55.5596
4,14.4,-48.4824
4.8,14.4,-46.0919
5.6,14.4,-45.6884
6.4,14.4,-44.8464
7.2,14.4,-42.3823
8,14.4,-54.2446
8.8,14.4,-49.9628
9.6,14.4,-52.8325
10.4,14.4,-53.1563
11.2,14.4,-48.5394
12,14.4,-53.8159
12.8,14.4,-53.343
13.6,14.4,-52.4182
14.4,14.4,-54.3317
15.2,14.4,-51.8075
16,14.4,-57.5247
16.8,14.4,-61.0449
17.6,14.4,-51.063
18.4,14.4,-61.0934
19.2,14.4,-57.2367
20,14.4,-54.16
-20,15.2,-20.8294
-19.2,15.2,-24.5608
-18.4,15.2,-21.635
-17.6,15.2,-25.937
-16.8,15.2,-24.8067
-16,15.2,-21.9807
-15.2,15.2,-23.528
-14.4,15.2,-29.4208
-13.6,15.2,-26.9537
-12.8,15.2,-23.9047
-12,15.2,-27.7794
-11.2,15.2,-27.7839
-10.4,15.2,-43.1928
-9.6,15.2,-34.8445
-8.8,15.2,-39.8503
-8,15.2,-38.7984
-7.2,15.2,-38.6339
-6.4,15.2,-38.6723
-5.6,15.2,-39.309
-4.8,15.2,-43.3057
-4,15.2,-39.2636
-3.2,15.2,-40.1704
-2.4,15.2,-42.9654
-1.6,15.2,-47.2725
-0.8,15.2,-40.2823
0,15.2,-42.3045
0.8,15.2,-45.174
1.6,15.2,-50.3289
2.4,15.2,-44.495
3.2,15.2,-53.6744
4,15.2,-49.5862
4.8,15.2,-49.5101
5.6,15.2,-49.1962
6.4,15.2,-47.029
7.2,15.2,-42.0574
8,15.2,-47.3231
8.8,15.2,-46.0853
9.6,15.2,-52.9239
10.4,15.2,-44.1815
11.2,15.2,-56.8761
12,15.2,-53.745
12.8,15.2,-57.4045
13.6,15.2,-55.5497
14.4,15.2,-55.4418
15.2,15.2,-54.3409
16,15.2,-67.1651
16.8,15.2,-56.9669
17.6,15.2,-52.7288
18.4,15.2,-53.3454
19.2,15.2,-55.0824
20,15.2,-51.9821
-20,16,-25.1338
-19.2,16,-23.3405
-18.4,16,-24.6612
-17.6,16,-23.3996
-16.8,16,-23.148
-16,16,-24.3137
-15.2,16,-21.7743
-14.4,16,-26.9163
-13.6,16,-25.8659
-12.8,16,-24.2057
-12,16,-24.3457
-11.2,16,-26.4168
-10.4,16,-39.1911
-9.6,16,-34.7058
-8.8,16,-38.7583
-8,16,-43.7057
-7.2,16,-42.2925
-6.4,16,-36.8807
-5.6,16,-42.3333
-4.8,16,-36.2152
-4,16,-40.3151
-3.2,16,-44.4959
-2.4,16,-38.3159
-1.6,16,-38.634
-0.8,16,-41.4005
0,16,-50.9499
0.8,16,-45.556
1.6,16,-43.1774
2.4,16,-53.1472
3.2,16,-51.3049
4,16,-52.8892
4.8,16,-48.1795
5.6,16,-43.4027
6.4,16,-49.1618
7.2,16,-46.4468
8,16,-47.695
8.8,16,-46.4699
9.6,16,-52.8755
10.4,16,-53.4927
11.2,16,-48.6081
12,16,-54.1631
12.8,16,-51.5196
13.6,16,-56.3965
14.4,16,-53.3916
15.2,16,-59.5423
16,16,-52.0336
16.8,16,-56.3618
17.6,16,-58.5759
18.4,16,-53.3843
19.2,16,-57.3736
20,16,-57.5121
-20,16.8,-22.6127
-19.2,16.8,-23.6102
-18.4,16.8,-23.0189
-17.6,16.8,-22.2889
-16.8,16.8,-24.3407
-16,16.8,-23.5824
-15.2,16.8,-21.8771
-14.4,16.8,-24.3216
-13.6,16.8,-26.5618
-12.8,16.8,-23.5358
-12,16.8,-23.5479
-11.2,16.8,-26.642
-10.4,16.8,-32.1652
-9.6,16.8,-35.9795
-8.8,16.8,-37.2473
-8,16.8,-44.2009
-7.2,16.8,-41.4059
-6.4,16.8,-44.2894
-5.6,16.8,-44.5794
-4.8,16.8,-38.7718
-4,16.8,-39.228
-3.2,16.8,-47.5695
-2.4,16.8,-46.9803
-1.6,16.8,-38.1238
-0.8,16.8,-42.6452
0,16.8,-37.7858
0.8,16.8,-44.5449
1.6,16.8,-46.0158
2.4,16.8,-45.4262
3.2,16.8,-53.3517
4,16.8,-47.2283
4.8,16.8,-47.9426
5.6,16.8,-51.093
6.4,16.8,-42.6072
7.2,16.8,-47.5591
8,16.8,-51.2248
8.8,16.8,-51.0475
9.6,16.8,-50.3973
10.4,16.8,-53.2237
11.2,16.8,-46.7291
12,16.8,-50.1194
12.8,16.8,-56.0594
13.6,16.8,-50.9889
14.4,16.8,-59.282
15.2,16.8,-58.0833
16,16.8,-51.797
16.8,16.8,-53.2209
17.6,16.8,-54.3668
18.4,16.8,-52.0783
19.2,16.8,-52.0991
20,16.8,-54.3484
-20,17.6,-21.7491
-19.2,17.6,-24.6129
-18.4,17.6,-25.524
-17.6,17.6,-22.5169
-16.8,17.6,-23.9322
-16,17.6,-23.3705
-15.2,17.6,-23.9295
-14.4,17.6,-25.1981
-13.6,17.6,-26.0546
-12.8,17.6,-26.2208
-12,17.6,-25.4117
-11.2,17.6,-23.704
-10.4,17.6,-31.4235
-9.6,17.6,-36.9711
-8.8,17.6,-38.8267
-8,17.6,-36.5089
-7.2,17.6,-41.0509
-6.4,17.6,-48.7948
-5.6,17.6,-43.7901
-4.8,17.6,-42.0512
-4,17.6,-38.895
-3.2,17.6,-37.831
-2.4,17.6,-42.1959
-1.6,17.6,-52.5925
-0.8,17.6,-42.47
0,17.6,-43.9537
0.8,17.6,-46.0926
1.6,17.6,-52.0748
2.4,17.6,-48.168
3.2,17.6,-48.782
4,17.6,-52.8701
4.8,17.6,-46.6379
5.6,17.6,-49.603
6.4,17.6,-55.3202
7.2,17.6,-50.685
8,17.6,-50.3215
8.8,17.6,-49.9548
9.6,17.6,-52.0241
10.4,17.6,-55.0728
11.2,17.6,-54.8172
12,17.6,-48.1932
12.8,17.6,-56.2059
13.6,17.6,-53.0555
14.4,17.6,-48.3238
15.2,17.6,-58.1679
16,17.6,-54.836
16.8,17.6,-60.0071
17.6,17.6,-58.082
18.4,17.6,-52.2759
19.2,17.6,-53.5274
20,17.6,-55.3808
-20,18.4,-22.0942
-19.2,18.4,-23.1958
-18.4,18.4,-23.8177
-17.6,18.4,-21.6142
-16.8,18.4,-21.8292
-16,18.4,-27.9854
-15.2,18.4,-22.9191
-14.4,18.4,-23.1979
-13.6,18.4,-23.2667
-12.8,18.4,-27.7751
-12,18.4,-28.0983
-11.2,18.4,-24.2868
-10.4,18.4,-26.2452
-9.6,18.4,-31.0506
-8.8,18.4,-31.4448
-8,18.4,-39.8135
-7.2,18.4,-43.6306
-6.4,18.4,-47.0335
-5.6,18.4,-45.4129
-4.8,18.4,-40.5476
-4,18.4,-39.9287
-3.2,18.4,-37.0936
-2.4,18.4,-41.7265
-1.6,18.4,-46.3567
-0.8,18.4,-40.4846
0,18.4,-44.4567
0.8,18.4,-53.0618
1.6,18.4,-53.7821
2.4,18.4,-51.0351
3.2,18.4,-47.0288
4,18.4,-49.2414
4.8,18.4,-51.3251
5.6,18.4,-45.7425
6.4,18.4,-44.9222
7.2,18.4,-56.2304
8,18.4,-45.2114
8.8,18.4,-46.8082
9.6,18.4,-48.3395
10.4,18.4,-53.5478
11.2,18.4,-50.9695
12,18.4,-52.2175
12.8,18.4,-47.6672
13.6,18.4,-57.8866
14.4,18.4,-50.3555
15.2,18.4,-55.6191
16,18.4,-48.1936
16.8,18.4,-54.6186
17.6,18.4,-53.3136
18.4,18.4,-57.1551
19.2,18.4,-50.2582
20,18.4,-54.218
-20,19.2,-22.7894
-19.2,19.2,-25.3497
-18.4,19.2,-25.5526
-17.6,19.2,-22.2597
-16.8,19.2,-21.8228
-16,19.2,-30.4782
-15.2,19.2,-23.5182
-14.4,19.2,-23.6536
-13.6,19.2,-23.5518
-12.8,19.2,-26.3162
-12,19.2,-27.8859
-11.2,19.2,-24.9108
-10.4,19.2,-26.1091
-9.6,19.2,-29.2304
-8.8,19.2,-31.0584
-8,19.2,-34.384
-7.2,19.2,-36.5077
-6.4,19.2,-39.7927
-5.6,19.2,-38.7228
-4.8,19.2,-42.5628
-4,19.2,-43.0444
-3.2,19.2,-49.3973
-2.4,19.2,-49.101
-1.6,19.2,-56.5058
-0.8,19.2,-49.1792
0,19.2,-41.5486
0.8,19.2,-49.3639
1.6,19.2,-47.5695
2.4,19.2,-47.0451
3.2,19.2,-53.5314
4,19.2,-52.139
4.8,19.2,-45.1228
5.6,19.2,-47.0141
6.4,19.2,-41.1821
7.2,19.2,-49.5536
8,19.2,-46.2477
8.8,19.2,-45.1984
9.6,19.2,-53.0825
10.4,19.2,-45.4517
11.2,19.2,-49.5993
12,19.2,-52.7563
12.8,19.2,-61.3169
13.6,19.2,-49.4176
14.4,19.2,-48.331
15.2,19.2,-51.4189
16,19.2,-52.7128
16.8,19.2,-48.7875
17.6,19.2,-52.8268
18.4,19.2,-54.8503
19.2,19.2,-54.6951
20,19.2,-55.127
-20,20,-21.815
-19.2,20,-23.2717
-18.4,20,-25.6365
-17.6,20,-22.0335
-16.8,20,-23.9826
-16,20,-26.0244
-15.2,20,-28.1567
-14.4,20,-22.2758
-13.6,20,-24.1372
-12.8,20,-25.894
-12,20,-30.7369
-11.2,20,-28.0744
-10.4,20,-25.5552
-9.6,20,-25.8569
-8.8,20,-32.4069
-8,20,-36.079
-7.2,20,-28.5299
-6.4,20,-41.8368
-5.6,20,-36.5086
-4.8,20,-45.4402
-4,20,-43.5672
-3.2,20,-43.5384
-2.4,20,-44.9465
-1.6,20,-45.8558
-0.8,20,-48.5338
0,20,-45.2468
0.8,20,-47.4292
1.6,20,-48.6922
2.4,20,-44.2335
3.2,20,-46.2148
4,20,-50.9945
4.8,20,-54.189
5.6,20,-52.7683
6.4,20,-46.3855
7.2,20,-43.9122
8,20,-47.4734
8.8,20,-45.8628
9.6,20,-50.4507
10.4,20,-52.8073
11.2,20,-49.09
12,20,-63.5729
12.8,20,-49.5384
13.6,20,-48.625
14.4,20,-51.8524
15.2,20,-55.1216
16,20,-47.7489
16.8,20,-50.8186
17.6,20,-52.2229
18.4,20,-56.9901
19.2,20,-54.6014
20,20,-58.9135
