_u,_v,dB(NearPoyntingTotal)
-12.8,-8,-40.4359
-12,-8,-43.2965
-11.2,-8,-43.9382
-10.4,-8,-38.7146
-9.6,-8,-44.9398
-8.8,-8,-45.9272
-8,-8,-40.1404
-7.2,-8,-43.6685
-6.4,-8,-45.158
-5.6,-8,-44.9343
-4.8,-8,-46.1452
-4,-8,-43.928
-3.2,-8,-44.5501
-2.4,-8,-47.7607
-1.6,-8,-44.4645
-0.8,-8,-42.0763
0,-8,-48.1049
0.8,-8,-45.5585
1.6,-8,-47.4301
2.4,-8,-50.7815
3.2,-8,-50.5935
4,-8,-49.0049
4.8,-8,-48.8035
5.6,-8,-48.506
6.4,-8,-52.8721
7.2,-8,-52.3886
8,-8,-48.0526
8.8,-8,-52.7657
9.6,-8,-51.3991
10.4,-8,-51.391
11.2,-8,-47.2826
12,-8,-48.6313
12.8,-8,-46.3261
13.6,-8,-53.4887
14.4,-8,-53.0601
15.2,-8,-51.3364
16,-8,-61.2289
16.8,-8,-65.6825
17.6,-8,-54.6497
18.4,-8,-57.0407
19.2,-8,-56.6595
20,-8,-53.9281
-20,-7.2,-41.5021
-19.2,-7.2,-37.6354
-18.4,-7.2,-42.47
-17.6,-7.2,-42.9017
-16.8,-7.2,-41.0186
-16,-7.2,-40.1658
-15.2,-7.2,-41.8527
-14.4,-7.2,-35.94
-13.6,-7.2,-35.9499
-12.8,-7.2,-40.1921
-12,-7.2,-42.166
-11.2,-7.2,-39.6891
-10.4,-7.2,-47.1363
-9.6,-7.2,-51.6791
-8.8,-7.2,-45.9708
-8,-7.2,-44.6571
-7.2,-7.2,-43.8868
-6.4,-7.2,-46.0605
-5.6,-7.2,-46.2676
-4.8,-7.2,-45.5851
-4,-7.2,-45.6354
-3.2,-7.2,-46.1221
-2.4,-7.2,-42.3197
-1.6,-7.2,-41.3532
-0.8,-7.2,-44.7876
0,-7.2,-43.2739
0.8,-7.2,-43.8695
1.6,-7.2,-53.5593
2.4,-7.2,-47.9076
3.2,-7.2,-43.3981
4,-7.2,-50.5358
4.8,-7.2,-49.245
5.6,-7.2,-47.7212
6.4,-7.2,-45.742
7.2,-7.2,-46.1826
8,-7.2,-53.1422
8.8,-7.2,-59.9998
