_u,_v,dB(NearETotal)
4,-14.4,-16.7327
4.8,-14.4,-16.1864
5.6,-14.4,-19.9668
6.4,-14.4,-20.3364
7.2,-14.4,-20.8876
8,-14.4,-22.89
8.8,-14.4,-28.4206
9.6,-14.4,-22.0169
10.4,-14.4,-27.3272
11.2,-14.4,-22.3938
12,-14.4,-20.7114
12.8,-14.4,-26.9798
13.6,-14.4,-21.2784
14.4,-14.4,-23.0032
15.2,-14.4,-23.0596
16,-14.4,-21.7022
16.8,-14.4,-22.7608
17.6,-14.4,-25.0105
18.4,-14.4,-23.6
19.2,-14.4,-26.9489
20,-14.4,-30.4715
-20,-13.6,-15.2039
-19.2,-13.6,-12.3871
-18.4,-13.6,-13.5001
-17.6,-13.6,-13.12
-16.8,-13.6,-24.7754
-16,-13.6,-14.4917
-15.2,-13.6,-15.6065
-14.4,-13.6,-17.3503
-13.6,-13.6,-14.7262
-12.8,-13.6,-19.0552
-12,-13.6,-13.5318
-11.2,-13.6,-18.6792
-10.4,-13.6,-14.0039
-9.6,-13.6,-12.1423
-8.8,-13.6,-13.2342
-8,-13.6,-16.7994
-7.2,-13.6,-18.4781
-6.4,-13.6,-15.2296
-5.6,-13.6,-11.5191
-4.8,-13.6,-12.565
-4,-13.6,-13.9394
-3.2,-13.6,-14.5802
-2.4,-13.6,-23.67
-1.6,-13.6,-27.1735
-0.8,-13.6,-19.9966
0,-13.6,-15.1022
0.8,-13.6,-14.6172
1.6,-13.6,-18.9186
2.4,-13.6,-16.4831
3.2,-13.6,-8.60895
4,-13.6,-16.5473
4.8,-13.6,-18.4509
5.6,-13.6,-19.3614
6.4,-13.6,-23.1964
7.2,-13.6,-25.2575
8,-13.6,-26.5598
8.8,-13.6,-24.5356
9.6,-13.6,-25.3805
10.4,-13.6,-24.1776
11.2,-13.6,-22.6402
12,-13.6,-23.1798
12.8,-13.6,-28.55
13.6,-13.6,-17.692
14.4,-13.6,-24.344
15.2,-13.6,-24.3385
16,-13.6,-31.1076
16.8,-13.6,-24.3276
17.6,-13.6,-22.6755
18.4,-13.6,-27.3755
19.2,-13.6,-27.5796
20,-13.6,-24.6165
-20,-12.8,-15.8364
-19.2,-12.8,-16.6774
-18.4,-12.8,-19.6273
-17.6,-12.8,-7.67024
-16.8,-12.8,-13.7375
-16,-12.8,-9.16227
-15.2,-12.8,-10.7879
-14.4,-12.8,-13.1364
-13.6,-12.8,-16.3501
-12.8,-12.8,-9.20209
-12,-12.8,-14.1789
-11.2,-12.8,-13.2887
-10.4,-12.8,-11.1466
-9.6,-12.8,-23.8155
-8.8,-12.8,-14.4885
-8,-12.8,-16.6966
-7.2,-12.8,-12.806
-6.4,-12.8,-12.095
-5.6,-12.8,-19.814
-4.8,-12.8,-18.0289
-4,-12.8,-12.6468
-3.2,-12.8,-11.4801
-2.4,-12.8,-14.7031
-1.6,-12.8,-18.0262
-0.8,-12.8,-12.6491
0,-12.8,-11.8982
0.8,-12.8,-11.908
1.6,-12.8,-12.821
2.4,-12.8,-16.7955
3.2,-12.8,-7.67386
4,-12.8,-15.9018
4.8,-12.8,-20.1396
5.6,-12.8,-19.1826
6.4,-12.8,-20.2124
7.2,-12.8,-22.0781
8,-12.8,-23.6047
8.8,-12.8,-20.4644
9.6,-12.8,-21.8269
10.4,-12.8,-21.8574
11.2,-12.8,-16.9754
12,-12.8,-23.2178
12.8,-12.8,-20.914
13.6,-12.8,-26.052
14.4,-12.8,-26.1008
15.2,-12.8,-19.2815
16,-12.8,-22.6783
16.8,-12.8,-23.4441
17.6,-12.8,-18.7551
18.4,-12.8,-23.4918
19.2,-12.8,-26.6912
20,-12.8,-26.4205
-20,-12,-23.2889
-19.2,-12,-17.9983
-18.4,-12,-15.4818
-17.6,-12,-13.7645
-16.8,-12,-16.4187
-16,-12,-15.712
-15.2,-12,-8.7666
-14.4,-12,-22.046
-13.6,-12,-17.9627
-12.8,-12,-13.3424
-12,-12,-15.2024
-11.2,-12,-11.1239
-10.4,-12,-23.7347
-9.6,-12,-13.3304
-8.8,-12,-15.4991
-8,-12,-18.3193
-7.2,-12,-16.6568
-6.4,-12,-7.10126
-5.6,-12,-17.768
-4.8,-12,-10.1494
-4,-12,-9.05879
-3.2,-12,-12.6647
-2.4,-12,-11.8292
-1.6,-12,-9.08596
-0.8,-12,-9.21016
0,-12,-10.5981
0.8,-12,-11.3879
1.6,-12,-11.1337
2.4,-12,-15.2258
3.2,-12,-19.0624
4,-12,-20.6234
4.8,-12,-25.5911
5.6,-12,-20.9159
6.4,-12,-18.6208
7.2,-12,-18.3907
8,-12,-24.0828
8.8,-12,-23.167
9.6,-12,-22.3396
10.4,-12,-22.2192
11.2,-12,-23.7508
12,-12,-26.2397
12.8,-12,-23.7196
13.6,-12,-24.6453
14.4,-12,-27.3682
15.2,-12,-29.9919
16,-12,-26.4289
16.8,-12,-21.0604
17.6,-12,-21.0312
18.4,-12,-22.1756
19.2,-12,-23.353
20,-12,-18.1126
-20,-11.2,-16.2266
-19.2,-11.2,-10.2328
-18.4,-11.2,-14.6309
-17.6,-11.2,-19.2415
-16.8,-11.2,-16.2218
-16,-11.2,-12.549
-15.2,-11.2,-15.6241
-14.4,-11.2,-15.975
-13.6,-11.2,-17.2621
-12.8,-11.2,-13.4608
-12,-11.2,-12.0917
-11.2,-11.2,-19.7495
-10.4,-11.2,-14.5992
-9.6,-11.2,-16.01
-8.8,-11.2,-13.5233
-8,-11.2,-19.419
-7.2,-11.2,-14.1144
-6.4,-11.2,-16.8018
-5.6,-11.2,-11.7093
-4.8,-11.2,-11.3345
-4,-11.2,-7.64198
-3.2,-11.2,-12.9659
-2.4,-11.2,-8.81185
-1.6,-11.2,-6.0001
-0.8,-11.2,-15.2877
0,-11.2,-16.3249
0.8,-11.2,-18.3621
1.6,-11.2,-21.8666
2.4,-11.2,-16.39
3.2,-11.2,-21.0699
4,-11.2,-21.8702
4.8,-11.2,-22.8225
5.6,-11.2,-18.8136
6.4,-11.2,-22.1818
7.2,-11.2,-22.3654
8,-11.2,-22.7193
8.8,-11.2,-20.9834
9.6,-11.2,-24.0079
10.4,-11.2,-22.4827
11.2,-11.2,-23.6237
12,-11.2,-23.1248
12.8,-11.2,-26.9266
13.6,-11.2,-21.063
14.4,-11.2,-24.831
15.2,-11.2,-25.293
16,-11.2,-32.2605
16.8,-11.2,-26.713
17.6,-11.2,-28.5281
18.4,-11.2,-24.7925
19.2,-11.2,-27.13
20,-11.2,-29.207
-20,-10.4,-16.6123
-19.2,-10.4,-21.815
