_u,_v,dB(NearETotal)
5,-13,-7.15623
5.5,-13,-11.081
6,-13,-14.2229
6.5,-13,-11.6972
7,-13,-9.23488
7.5,-13,-12.8023
8,-13,-8.4042
8.5,-13,-7.22772
9,-13,-6.08462
9.5,-13,-4.91814
10,-13,-9.12627
10.5,-13,-12.2454
11,-13,-12.7061
11.5,-13,-10.3829
12,-13,-10.5164
12.5,-13,-8.73452
13,-13,-15.5332
13.5,-13,-12.8717
14,-13,-12.934
14.5,-13,-13.654
15,-13,-15.1108
-15,-12.5,-11.5352
-14.5,-12.5,-18.3721
-14,-12.5,-12.236
-13.5,-12.5,-14.7603
-13,-12.5,-12.0777
-12.5,-12.5,-11.0773
-12,-12.5,-10.1631
-11.5,-12.5,-16.805
-11,-12.5,-18.4043
-10.5,-12.5,-14.6402
-10,-12.5,-13.4
-9.5,-12.5,-17.5027
-9,-12.5,-15.8307
-8.5,-12.5,-13.4528
-8,-12.5,-13.356
-7.5,-12.5,-11.3791
-7,-12.5,-13.4611
-6.5,-12.5,-11.9467
-6,-12.5,-15.1512
-5.5,-12.5,-7.80022
-5,-12.5,-9.35668
-4.5,-12.5,-15.3924
-4,-12.5,-11.8069
-3.5,-12.5,-13.7459
-3,-12.5,-12.1037
-2.5,-12.5,-12.9112
-2,-12.5,-11.3334
-1.5,-12.5,-10.6706
-1,-12.5,-12.1273
-0.5,-12.5,-8.70614
0,-12.5,-14.4466
0.5,-12.5,-7.10607
1,-12.5,-10.2936
1.5,-12.5,-9.92324
2,-12.5,-8.22889
2.5,-12.5,-7.10006
3,-12.5,-8.01361
3.5,-12.5,-11.2377
4,-12.5,-8.09514
4.5,-12.5,-9.92602
5,-12.5,-7.59278
5.5,-12.5,-10.3014
6,-12.5,-9.44616
6.5,-12.5,-16.5388
7,-12.5,-7.89071
7.5,-12.5,-7.58779
8,-12.5,-7.58111
8.5,-12.5,-8.89677
9,-12.5,-7.37201
9.5,-12.5,-10.0911
10,-12.5,-6.83256
10.5,-12.5,-7.89126
11,-12.5,-7.66076
11.5,-12.5,-9.69253
12,-12.5,-9.73967
12.5,-12.5,-14.9199
13,-12.5,-13.0656
13.5,-12.5,-12.5036
14,-12.5,-12.7662
14.5,-12.5,-13.1416
15,-12.5,-10.7692
-15,-12,-7.06152
-14.5,-12,-22.086
-14,-12,-13.7152
-13.5,-12,-12.2267
-13,-12,-11.184
-12.5,-12,-24.3284
-12,-12,-26.8404
-11.5,-12,-13.2717
-11,-12,-12.9711
-10.5,-12,-13.8108
-10,-12,-12.8013
-9.5,-12,-12.7922
-9,-12,-12.0176
-8.5,-12,-15.7559
-8,-12,-10.562
-7.5,-12,-9.63309
-7,-12,-13.0375
-6.5,-12,-14.653
-6,-12,-13.2247
-5.5,-12,-10.1838
-5,-12,-12.8805
-4.5,-12,-8.74293
-4,-12,-12.8755
-3.5,-12,-14.0617
-3,-12,-11.5991
-2.5,-12,-15.5017
-2,-12,-8.89773
-1.5,-12,-11.4458
-1,-12,-6.40773
-0.5,-12,-11.2197
0,-12,-8.8484
0.5,-12,-9.06015
1,-12,-7.75411
1.5,-12,-5.35463
2,-12,-9.01137
2.5,-12,-12.712
3,-12,-9.06939
3.5,-12,-16.3745
4,-12,-12.0524
4.5,-12,-8.3403
5,-12,-5.9404
5.5,-12,-6.99967
6,-12,-6.10896
6.5,-12,-6.5352
7,-12,-6.75359
7.5,-12,-6.54344
8,-12,-10.6526
8.5,-12,-9.43639
9,-12,-8.70325
9.5,-12,-9.45659
10,-12,-10.4977
10.5,-12,-12.2248
11,-12,-16.0729
11.5,-12,-12.8964
12,-12,-9.73017
12.5,-12,-10.1073
13,-12,-10.6807
13.5,-12,-12.0906
14,-12,-11.1662
14.5,-12,-10.5599
15,-12,-9.68427
-15,-11.5,-8.12473
-14.5,-11.5,-10.7411
-14,-11.5,-12.876
-13.5,-11.5,-9.81618
-13,-11.5,-19.0082
-12.5,-11.5,-15.6395
-12,-11.5,-16.6375
-11.5,-11.5,-8.27857
-11,-11.5,-7.58813
-10.5,-11.5,-8.96269
-10,-11.5,-13.2203
-9.5,-11.5,-8.62034
-9,-11.5,-13.926
-8.5,-11.5,-9.62425
-8,-11.5,-8.73177
-7.5,-11.5,-15.491
-7,-11.5,-14.3849
-6.5,-11.5,-13.9437
-6,-11.5,-12.4621
-5.5,-11.5,-7.42648
-5,-11.5,-16.7557
-4.5,-11.5,-11.6438
-4,-11.5,-17.7624
-3.5,-11.5,-10.1428
-3,-11.5,-7.92977
-2.5,-11.5,-12.1642
-2,-11.5,-11.0033
-1.5,-11.5,-19.8285
-1,-11.5,-15.2299
-0.5,-11.5,-12.4367
0,-11.5,-9.23219
0.5,-11.5,-6.31764
1,-11.5,-7.52527
1.5,-11.5,-7.26801
2,-11.5,-7.69918
2.5,-11.5,-12.2976
3,-11.5,-11.5466
3.5,-11.5,-9.20955
4,-11.5,-10.7244
4.5,-11.5,-6.80386
5,-11.5,-9.03464
5.5,-11.5,-4.84291
6,-11.5,-6.31199
6.5,-11.5,-3.33701
7,-11.5,-5.08448
7.5,-11.5,-4.69962
8,-11.5,-10.866
8.5,-11.5,-12.9941
9,-11.5,-11.8101
9.5,-11.5,-12.1129
10,-11.5,-14.298
10.5,-11.5,-17.5235
11,-11.5,-14.5879
11.5,-11.5,-15.8813
12,-11.5,-12.7644
12.5,-11.5,-12.2937
13,-11.5,-10.6057
13.5,-11.5,-9.8609
14,-11.5,-12.4591
14.5,-11.5,-12.8885
15,-11.5,-9.71368
-15,-11,-11.4045
-14.5,-11,-15.3579
-14,-11,-13.041
-13.5,-11,-13.3034
-13,-11,-11.8888
-12.5,-11,-15.5011
-12,-11,-10.7658
-11.5,-11,-16.8029
-11,-11,-15.9698
-10.5,-11,-15.2244
-10,-11,-20.1526
-9.5,-11,-9.50482
-9,-11,-14.6161
-8.5,-11,-17.0991
-8,-11,-12.831
-7.5,-11,-20.2824
-7,-11,-9.98526
-6.5,-11,-14.2651
-6,-11,-15.4154
-5.5,-11,-17.092
-5,-11,-11.8879
-4.5,-11,-16.2438
-4,-11,-9.53898
-3.5,-11,-12.2202
-3,-11,-10.8238
-2.5,-11,-15.5854
-2,-11,-12.4685
-1.5,-11,-12.8481
-1,-11,-18.3629
-0.5,-11,-6.39149
0,-11,-5.25498
0.5,-11,-6.1907
1,-11,-5.64485
1.5,-11,-7.49166
2,-11,-19.5631
2.5,-11,-8.92733
3,-11,-5.18782
3.5,-11,-5.70136
4,-11,-6.43225
4.5,-11,-7.03361
5,-11,-8.62897
5.5,-11,-10.4786
6,-11,-7.72817
6.5,-11,-8.62798
7,-11,-7.56617
7.5,-11,-6.52603
8,-11,-11.4289
8.5,-11,-12.0591
9,-11,-13.5324
9.5,-11,-15.1893
10,-11,-13.1285
10.5,-11,-15.2762
11,-11,-15.0009
11.5,-11,-21.4599
12,-11,-16.0128
12.5,-11,-12.17
13,-11,-12.0845
13.5,-11,-10.5762
14,-11,-10.8182
14.5,-11,-11.0971
15,-11,-15.705
-15,-10.5,-12.1256
-14.5,-10.5,-10.5594
-14,-10.5,-10.222
-13.5,-10.5,-10.9646
-13,-10.5,-14.8953
-12.5,-10.5,-18.2401
-12,-10.5,-11.6364
-11.5,-10.5,-12.4643
-11,-10.5,-9.52358
-10.5,-10.5,-17.1008
-10,-10.5,-13.4714
-9.5,-10.5,-14.6595
-9,-10.5,-12.3217
-8.5,-10.5,-16.3829
-8,-10.5,-19.0082
-7.5,-10.5,-13.0549
-7,-10.5,-9.35107
-6.5,-10.5,-11.0563
-6,-10.5,-15.6919
-5.5,-10.5,-9.69738
-5,-10.5,-8.61201
-4.5,-10.5,-13.0987
-4,-10.5,-13.8364
-3.5,-10.5,-11.3775
-3,-10.5,-13.559
-2.5,-10.5,-18.5061
-2,-10.5,-16.5157
-1.5,-10.5,-11.946
-1,-10.5,-8.52463
-0.5,-10.5,-6.04468
0,-10.5,-6.79743
0.5,-10.5,-7.39325
1,-10.5,-16.6055
1.5,-10.5,-9.35292
2,-10.5,-11.2737
2.5,-10.5,-5.39626
3,-10.5,-4.41261
3.5,-10.5,-9.51328
4,-10.5,-5.54007
4.5,-10.5,-4.09381
5,-10.5,-8.04588
5.5,-10.5,-7.61139
6,-10.5,-6.44739
6.5,-10.5,-11.7526
7,-10.5,-10.7025
7.5,-10.5,-11.4521
8,-10.5,-13.4168
8.5,-10.5,-12.1785
9,-10.5,-10.499
9.5,-10.5,-9.02626
10,-10.5,-14.6786
10.5,-10.5,-11.181
11,-10.5,-14.7349
11.5,-10.5,-16.7415
12,-10.5,-14.705
12.5,-10.5,-10.8343
13,-10.5,-12.0562
13.5,-10.5,-11.6538
14,-10.5,-12.389
14.5,-10.5,-11.2772
15,-10.5,-16.0602
-15,-10,-17.2797
-14.5,-10,-12.4007
-14,-10,-10.1891
-13.5,-10,-9.8684
-13,-10,-10.7087
-12.5,-10,-14.9114
-12,-10,-17.2821
-11.5,-10,-14.8311
-11,-10,-22.2246
-10.5,-10,-10.7684
-10,-10,-8.86264
-9.5,-10,-11.2059
-9,-10,-11.1985
-8.5,-10,-13.2314
-8,-10,-17.9066
-7.5,-10,-5.06117
