CURVE2 (cv_her_20.dta )
Vf (V vs. Ref.)	Im (A)
-2.24002e+0	-6.34983e-2
-2.23003e+0	-6.27814e-2
-2.22009e+0	-6.21057e-2
-2.2101e+0	-6.14563e-2
-2.2e+0	-6.07972e-2
-2.19005e+0	-6.01384e-2
-2.18002e+0	-5.94729e-2
-2.17009e+0	-5.88407e-2
-2.16013e+0	-5.81884e-2
-2.15003e+0	-5.74951e-2
-2.14006e+0	-5.68423e-2
-2.13005e+0	-5.62354e-2
-2.1201e+0	-5.55903e-2
-2.11008e+0	-5.49432e-2
-2.10003e+0	-5.42996e-2
-2.08998e+0	-5.37281e-2
-2.08001e+0	-5.30411e-2
-2.07006e+0	-5.24358e-2
-2.06006e+0	-5.17958e-2
-2.04994e+0	-5.11766e-2
-2.04002e+0	-5.05052e-2
-2.03004e+0	-4.98841e-2
-2.02002e+0	-4.92515e-2
-2.01009e+0	-4.86607e-2
-1.99993e+0	-4.80187e-2
-1.99001e+0	-4.73878e-2
-1.98003e+0	-4.67485e-2
-1.97003e+0	-4.61269e-2
-1.96005e+0	-4.55067e-2
-1.95005e+0	-4.48984e-2
-1.94004e+0	-4.42822e-2
-1.93005e+0	-4.36732e-2
-1.92004e+0	-4.30845e-2
-1.91006e+0	-4.24569e-2
-1.9e+0	-4.18402e-2
-1.8901e+0	-4.12408e-2
-1.88008e+0	-4.06545e-2
-1.87001e+0	-4.00891e-2
-1.86007e+0	-3.94543e-2
-1.85017e+0	-3.88604e-2
-1.84002e+0	-3.83142e-2
-1.83001e+0	-3.76974e-2
-1.82003e+0	-3.7128e-2
-1.81008e+0	-3.65721e-2
-1.80012e+0	-3.59762e-2
-1.78997e+0	-3.54103e-2
-1.77998e+0	-3.48522e-2
-1.76999e+0	-3.4264e-2
-1.7601e+0	-3.37234e-2
-1.75011e+0	-3.31795e-2
-1.73997e+0	-3.26344e-2
-1.73003e+0	-3.20816e-2
-1.71998e+0	-3.15246e-2
-1.71007e+0	-3.09632e-2
-1.70007e+0	-3.0414e-2
-1.68998e+0	-2.98973e-2
-1.68001e+0	-2.93697e-2
-1.67004e+0	-2.88442e-2
-1.66012e+0	-2.83226e-2
-1.65013e+0	-2.78038e-2
-1.64e+0	-2.72857e-2
-1.63001e+0	-2.67906e-2
-1.62002e+0	-2.62902e-2
-1.61007e+0	-2.58016e-2
-1.60004e+0	-2.52982e-2
-1.58998e+0	-2.47965e-2
-1.57994e+0	-2.43021e-2
-1.57004e+0	-2.38318e-2
-1.56004e+0	-2.33515e-2
-1.55007e+0	-2.28796e-2
-1.53991e+0	-2.24019e-2
-1.52996e+0	-2.19474e-2
-1.51998e+0	-2.14852e-2
-1.50993e+0	-2.1033e-2
-1.5e+0	-2.05809e-2
-1.4899e+0	-2.01288e-2
-1.47997e+0	-1.96788e-2
